Time(ms),USB(mA),USB Voltage(V),
np.float64(0.11623191833496094),np.float64(234.3898315040117),np.float64(4.915625),
np.float64(0.11642003059387207),np.float64(234.1251248154689),np.float64(4.91625),
np.float64(0.11662673950195312),np.float64(233.79424145479038),np.float64(4.916125),
np.float64(0.11686182022094727),np.float64(234.08541881218747),np.float64(4.916625),
np.float64(0.11703705787658691),np.float64(233.33100474984045),np.float64(4.917125),
np.float64(0.1172478199005127),np.float64(233.52953476624756),np.float64(4.917),
np.float64(0.1174628734588623),np.float64(233.72806478265468),np.float64(4.9165),
np.float64(0.11765885353088379),np.float64(233.71482944822753),np.float64(4.915625),
np.float64(0.11784791946411133),np.float64(236.90454504516853),np.float64(4.9135),
np.float64(0.11803793907165527),np.float64(236.3486609992286),np.float64(4.91575),
np.float64(0.11825990676879883),np.float64(235.541305599173),np.float64(4.91575),
np.float64(0.11844778060913086),np.float64(234.2177721564589),np.float64(4.915875),
np.float64(0.11865377426147461),np.float64(234.03247747447892),np.float64(4.916375),
np.float64(0.11884689331054688),np.float64(233.70159411380038),np.float64(4.917125),
np.float64(0.11904096603393555),np.float64(231.6104112743121),np.float64(4.9190000000000005),
np.float64(0.11922883987426758),np.float64(230.49864318243226),np.float64(4.9175),
np.float64(0.11946392059326172),np.float64(232.13982465139773),np.float64(4.917375),
np.float64(0.11965203285217285),np.float64(232.8412973760362),np.float64(4.9165),
np.float64(0.11985087394714355),np.float64(233.86041812692608),np.float64(4.9165),
np.float64(0.12005400657653809),np.float64(233.33100474984045),np.float64(4.916),
np.float64(0.12024497985839844),np.float64(233.569240769529),np.float64(4.916625),
np.float64(0.12044286727905273),np.float64(233.01335672358906),np.float64(4.91675),
np.float64(0.12063479423522949),np.float64(233.63541744166469),np.float64(4.916625),
np.float64(0.12085986137390137),np.float64(233.75453545150896),np.float64(4.917),
np.float64(0.12106490135192871),np.float64(234.16483081875032),np.float64(4.91675),
np.float64(0.12125205993652344),np.float64(234.04571280890605),np.float64(4.916),
np.float64(0.12145304679870605),np.float64(233.8339474580718),np.float64(4.91675),
np.float64(0.12164974212646484),np.float64(234.85306820896167),np.float64(4.916625),
np.float64(0.1218419075012207),np.float64(233.62218210723753),np.float64(4.917125),
np.float64(0.12204575538635254),np.float64(233.52953476624756),np.float64(4.915),
np.float64(0.12226080894470215),np.float64(237.01042772058565),np.float64(4.91525),
np.float64(0.12246489524841309),np.float64(235.448658258183),np.float64(4.9165),
np.float64(0.12266182899475098),np.float64(233.86041812692608),np.float64(4.916375),
np.float64(0.12285089492797852),np.float64(234.3898315040117),np.float64(4.916875),
np.float64(0.12305498123168945),np.float64(233.75453545150896),np.float64(4.91675),
np.float64(0.12324094772338867),np.float64(234.5486555171374),np.float64(4.916375),
np.float64(0.12344598770141602),np.float64(234.83983287453452),np.float64(4.916),
np.float64(0.12365984916687012),np.float64(234.85306820896167),np.float64(4.91625),
np.float64(0.12385988235473633),np.float64(234.323654831876),np.float64(4.916625),
np.float64(0.12405705451965332),np.float64(233.7413001170818),np.float64(4.9165),
np.float64(0.12425088882446289),np.float64(234.85306820896167),np.float64(4.916625),
np.float64(0.12444901466369629),np.float64(234.23100749088604),np.float64(4.917),
np.float64(0.12462878227233887),np.float64(233.27806341213187),np.float64(4.916625),
np.float64(0.12482285499572754),np.float64(233.7677707859361),np.float64(4.916),
np.float64(0.1251518726348877),np.float64(233.68835877937326),np.float64(4.917),
np.float64(0.1252589225769043),np.float64(234.33689016630316),np.float64(4.916375),
np.float64(0.1254289150238037),np.float64(233.43688742525757),np.float64(4.917125),
np.float64(0.12563490867614746),np.float64(235.03836289094164),np.float64(4.91525),
np.float64(0.12583088874816895),np.float64(234.40306683843886),np.float64(4.917875),
np.float64(0.12602591514587402),np.float64(233.10600406457905),np.float64(4.91375),
np.float64(0.12624669075012207),np.float64(237.32807574683704),np.float64(4.915),
np.float64(0.12644290924072266),np.float64(235.6736589434444),np.float64(4.914625),
np.float64(0.12662911415100098),np.float64(235.47512892703728),np.float64(4.917),
np.float64(0.12683677673339844),np.float64(234.65453819255455),np.float64(4.915),
np.float64(0.12703466415405273),np.float64(234.6413028581274),np.float64(4.91675),
np.float64(0.1272268295288086),np.float64(233.21188673999617),np.float64(4.917),
np.float64(0.12741875648498535),np.float64(230.03540647748233),np.float64(4.91925),
np.float64(0.1276388168334961),np.float64(230.5515845201408),np.float64(4.91775),
np.float64(0.12783479690551758),np.float64(232.15305998582488),np.float64(4.917),
np.float64(0.12803888320922852),np.float64(232.96041538588048),np.float64(4.91725),
np.float64(0.12823081016540527),np.float64(233.476593428539),np.float64(4.91675),
np.float64(0.12842583656311035),np.float64(233.79424145479038),np.float64(4.915875),
np.float64(0.12862086296081543),np.float64(233.68835877937326),np.float64(4.91625),
np.float64(0.1288440227508545),np.float64(234.03247747447892),np.float64(4.916375),
np.float64(0.12903499603271484),np.float64(233.5162994318204),np.float64(4.916625),
np.float64(0.12924790382385254),np.float64(233.48982876296614),np.float64(4.91675),
np.float64(0.12943482398986816),np.float64(233.3177694154133),np.float64(4.916),
np.float64(0.12962770462036133),np.float64(234.53542018271028),np.float64(4.91625),
np.float64(0.1298229694366455),np.float64(234.1251248154689),np.float64(4.9155),
np.float64(0.13002991676330566),np.float64(234.44277284172028),np.float64(4.9115),
np.float64(0.13023996353149414),np.float64(234.6413028581274),np.float64(4.91725),
np.float64(0.1304328441619873),np.float64(233.45012275968472),np.float64(4.915625),
np.float64(0.13063693046569824),np.float64(234.8927742122431),np.float64(4.91575),
np.float64(0.13083791732788086),np.float64(234.60159685484598),np.float64(4.917),
np.float64(0.13103675842285156),np.float64(233.1854160711419),np.float64(4.916375),
np.float64(0.13123703002929688),np.float64(233.7413001170818),np.float64(4.917),
np.float64(0.13144493103027344),np.float64(233.8074767892175),np.float64(4.916),
np.float64(0.1316547393798828),np.float64(234.58836152041883),np.float64(4.91575),
np.float64(0.13186407089233398),np.float64(234.94571554995164),np.float64(4.91625),
np.float64(0.13205790519714355),np.float64(233.93983013348893),np.float64(4.9165),
np.float64(0.13225889205932617),np.float64(233.11923939900618),np.float64(4.916125),
np.float64(0.1324758529663086),np.float64(233.70159411380038),np.float64(4.916),
np.float64(0.13265681266784668),np.float64(233.43688742525757),np.float64(4.917375),
np.float64(0.13283705711364746),np.float64(233.27806341213187),np.float64(4.91625),
np.float64(0.1330578327178955),np.float64(234.0589481433332),np.float64(4.916875),
np.float64(0.13324594497680664),np.float64(233.569240769529),np.float64(4.91675),
np.float64(0.13343477249145508),np.float64(234.00600680562462),np.float64(4.9165),
np.float64(0.13363289833068848),np.float64(233.78100612036323),np.float64(4.915),
np.float64(0.13383698463439941),np.float64(236.33542566480145),np.float64(4.915),
np.float64(0.13404369354248047),np.float64(235.5148349303187),np.float64(4.9155),
np.float64(0.13424205780029297),np.float64(235.34277558276588),np.float64(4.915875),
