Time(ms),USB(mA),USB Voltage(V),
np.float64(0.5257227420806885),np.float64(236.05748364183148),np.float64(4.9165),
np.float64(0.5259449481964111),np.float64(235.2236575729216),np.float64(4.91675),
np.float64(0.526127815246582),np.float64(234.68100886140883),np.float64(4.916625),
np.float64(0.5263190269470215),np.float64(234.27071349416747),np.float64(4.917625),
np.float64(0.5265159606933594),np.float64(231.68982328087495),np.float64(4.9190000000000005),
np.float64(0.5267179012298584),np.float64(231.2927632480607),np.float64(4.9185),
np.float64(0.5269448757171631),np.float64(232.27217799566915),np.float64(4.91775),
np.float64(0.5271279811859131),np.float64(233.7677707859361),np.float64(4.917375),
np.float64(0.5273277759552002),np.float64(233.52953476624756),np.float64(4.9165),
np.float64(0.5275239944458008),np.float64(237.0236630550128),np.float64(4.914),
np.float64(0.527728796005249),np.float64(237.06336905829423),np.float64(4.91625),
np.float64(0.5279197692871094),np.float64(234.61483218927313),np.float64(4.916625),
np.float64(0.5281226634979248),np.float64(234.25747815974032),np.float64(4.91675),
np.float64(0.5283279418945312),np.float64(234.24424282531317),np.float64(4.91725),
np.float64(0.5285239219665527),np.float64(233.48982876296614),np.float64(4.92025),
np.float64(0.5287299156188965),np.float64(229.9030531332109),np.float64(4.9197500000000005),
np.float64(0.5289459228515625),np.float64(230.39276050701514),np.float64(4.919125),
np.float64(0.529120922088623),np.float64(231.8618826284278),np.float64(4.917375),
np.float64(0.5293369293212891),np.float64(233.0927687301519),np.float64(4.91775),
np.float64(0.5295448303222656),np.float64(233.62218210723753),np.float64(4.918125),
np.float64(0.5297520160675049),np.float64(232.444237343222),np.float64(4.91775),
np.float64(0.5299708843231201),np.float64(233.42365209083042),np.float64(4.917375),
np.float64(0.5301299095153809),np.float64(234.62806752370025),np.float64(4.9145),
np.float64(0.5303380489349365),np.float64(237.43395842225416),np.float64(4.913125),
np.float64(0.5305368900299072),np.float64(237.84425378949553),np.float64(4.916375),
np.float64(0.530728816986084),np.float64(235.43542292375588),np.float64(4.915625),
np.float64(0.5309717655181885),np.float64(236.61336768777142),np.float64(4.915),
np.float64(0.5311458110809326),np.float64(237.10307506157565),np.float64(4.91425),
np.float64(0.5313458442687988),np.float64(237.79131245178698),np.float64(4.915625),
np.float64(0.5315430164337158),np.float64(234.9589508843788),np.float64(4.917125),
np.float64(0.5317296981811523),np.float64(233.87365346135323),np.float64(4.916625),
np.float64(0.5319409370422363),np.float64(235.48836426146443),np.float64(4.915375),
np.float64(0.5321478843688965),np.float64(234.8001268712531),np.float64(4.91525),
np.float64(0.5323529243469238),np.float64(236.7324856976157),np.float64(4.914125),
np.float64(0.5325319766998291),np.float64(237.16925173371135),np.float64(4.9155),
np.float64(0.5327410697937012),np.float64(236.8383683730328),np.float64(4.91475),
np.float64(0.532958984375),np.float64(236.60013235334426),np.float64(4.917375),
np.float64(0.5331258773803711),np.float64(232.07364797926203),np.float64(4.9185),
np.float64(0.5333187580108643),np.float64(233.92659479906177),np.float64(4.91525),
np.float64(0.5335390567779541),np.float64(236.8648390418871),np.float64(4.914625),
np.float64(0.5337300300598145),np.float64(237.0898397271485),np.float64(4.914875),
np.float64(0.5339438915252686),np.float64(237.10307506157565),np.float64(4.915625),
np.float64(0.5341386795043945),np.float64(237.11631039600277),np.float64(4.912),
np.float64(0.5343399047851562),np.float64(243.40309424889477),np.float64(4.91075),
np.float64(0.5345337390899658),np.float64(242.1589728127435),np.float64(4.9105),
np.float64(0.5347497463226318),np.float64(241.72220677664785),np.float64(4.913625),
np.float64(0.5350708961486816),np.float64(240.0280839699738),np.float64(4.912),
np.float64(0.5351908206939697),np.float64(239.49867059288817),np.float64(4.9145),
np.float64(0.5353658199310303),np.float64(238.45307917314403),np.float64(4.9165),
np.float64(0.5355398654937744),np.float64(234.0589481433332),np.float64(4.917),
np.float64(0.5357427597045898),np.float64(235.8589536254244),np.float64(4.917),
np.float64(0.5359737873077393),np.float64(233.01335672358906),np.float64(4.918),
np.float64(0.5361487865447998),np.float64(232.7751207039005),np.float64(4.917375),
np.float64(0.5363459587097168),np.float64(232.89423871374478),np.float64(4.918),
np.float64(0.5365447998046875),np.float64(233.27806341213187),np.float64(4.917125),
np.float64(0.5367410182952881),np.float64(233.11923939900618),np.float64(4.9175),
np.float64(0.5369429588317871),np.float64(233.45012275968472),np.float64(4.917),
np.float64(0.5371518135070801),np.float64(232.90747404817193),np.float64(4.9186250000000005),
np.float64(0.5373518466949463),np.float64(231.87511796285492),np.float64(4.9186250000000005),
np.float64(0.5375547409057617),np.float64(232.15305998582488),np.float64(4.918125),
np.float64(0.5377540588378906),np.float64(231.95452996941776),np.float64(4.9182500000000005),
np.float64(0.5379650592803955),np.float64(231.50452859889498),np.float64(4.9186250000000005),
np.float64(0.5381491184234619),np.float64(232.37806067108627),np.float64(4.91875),
np.float64(0.5383410453796387),np.float64(230.4457018447237),np.float64(4.9190000000000005),
np.float64(0.5385558605194092),np.float64(233.78100612036323),np.float64(4.9165),
np.float64(0.5387518405914307),np.float64(234.83983287453452),np.float64(4.916875),
np.float64(0.5389699935913086),np.float64(233.52953476624756),np.float64(4.91725),
np.float64(0.5391459465026855),np.float64(233.39718142197614),np.float64(4.9165),
np.float64(0.5393428802490234),np.float64(236.7060150287614),np.float64(4.9113750000000005),
np.float64(0.5395419597625732),np.float64(242.43691483571348),np.float64(4.9110000000000005),
np.float64(0.5397648811340332),np.float64(241.27220540612507),np.float64(4.9117500000000005),
np.float64(0.539970874786377),np.float64(241.35161741268792),np.float64(4.912),
np.float64(0.5401577949523926),np.float64(239.33984657976248),np.float64(4.91525),
np.float64(0.5403459072113037),np.float64(234.90600954667022),np.float64(4.9165),
np.float64(0.540543794631958),np.float64(235.2236575729216),np.float64(4.9145),
np.float64(0.5407469272613525),np.float64(236.95748638287708),np.float64(4.9145),
np.float64(0.540942907333374),np.float64(237.01042772058565),np.float64(4.915),
np.float64(0.5411548614501953),np.float64(234.9324802155245),np.float64(4.917),
np.float64(0.541334867477417),np.float64(233.88688879578035),np.float64(4.916125),
np.float64(0.54154372215271),np.float64(234.4824788450017),np.float64(4.915625),
np.float64(0.5417358875274658),np.float64(234.3501255007303),np.float64(4.91675),
np.float64(0.5419459342956543),np.float64(233.97953613677035),np.float64(4.916375),
np.float64(0.5421197414398193),np.float64(236.56042635006287),np.float64(4.9135),
np.float64(0.5423400402069092),np.float64(236.40160233693717),np.float64(4.916625),
np.float64(0.5425467491149902),np.float64(234.11188948104177),np.float64(4.915875),
np.float64(0.5427517890930176),np.float64(234.07218347776035),np.float64(4.917125),
np.float64(0.5429689884185791),np.float64(234.323654831876),np.float64(4.91625),
np.float64(0.543144941329956),np.float64(233.48982876296614),np.float64(4.917625),
np.float64(0.5433478355407715),np.float64(230.9618798873822),np.float64(4.9201250000000005),
np.float64(0.5435278415679932),np.float64(228.69863770034107),np.float64(4.919625),
np.float64(0.5437591075897217),np.float64(231.3854105890507),np.float64(4.9165),
np.float64(0.5439698696136475),np.float64(232.16629532025203),np.float64(4.91875),
np.float64(0.5441539287567139),np.float64(231.50452859889498),np.float64(4.918),
np.float64(0.5443518161773682),np.float64(231.9280593005635),np.float64(4.9175),
np.float64(0.5445480346679688),np.float64(232.1001186481163),np.float64(4.9175),
np.float64(0.5447437763214111),np.float64(232.76188536947336),np.float64(4.9175),
np.float64(0.544964075088501),np.float64(233.26482807770472),np.float64(4.91525),
np.float64(0.5451576709747314),np.float64(232.55012001863912),np.float64(4.9205000000000005),
np.float64(0.5453498363494873),np.float64(229.08246239872815),np.float64(4.919625),
np.float64(0.545536994934082),np.float64(228.14275365440116),np.float64(4.92125),
np.float64(0.5457539558410645),np.float64(227.097162234657),np.float64(4.924375),
np.float64(0.5459499359130859),np.float64(221.22067374900638),np.float64(4.926375),
np.float64(0.5461418628692627),np.float64(222.09420582119768),np.float64(4.923625),
np.float64(0.5463409423828125),np.float64(223.80156396229887),np.float64(4.92225),
np.float64(0.5465457439422607),np.float64(227.58686960846123),np.float64(4.9195),
np.float64(0.5467367172241211),np.float64(231.319233916915),np.float64(4.916),
np.float64(0.546942949295044),np.float64(235.36924625162015),np.float64(4.914875),
np.float64(0.547123908996582),np.float64(234.8001268712531),np.float64(4.916875),
np.float64(0.5473227500915527),np.float64(233.86041812692608),np.float64(4.917),
np.float64(0.5475640296936035),np.float64(232.7751207039005),np.float64(4.9165),
np.float64(0.547839879989624),np.float64(236.0177776385501),np.float64(4.91425),
np.float64(0.547982931137085),np.float64(235.448658258183),np.float64(4.917),
np.float64(0.5481588840484619),np.float64(234.3104194974489),np.float64(4.916125),
np.float64(0.5483639240264893),np.float64(234.1251248154689),np.float64(4.91725),
np.float64(0.5485658645629883),np.float64(232.76188536947336),np.float64(4.918125),
np.float64(0.5487499237060547),np.float64(232.6824733629105),np.float64(4.915875),
np.float64(0.5489699840545654),np.float64(235.23689290734876),np.float64(4.91575),
np.float64(0.5491387844085693),np.float64(236.98395705173138),np.float64(4.914875),
np.float64(0.5493578910827637),np.float64(234.68100886140883),np.float64(4.91725),
np.float64(0.5495538711547852),np.float64(233.9663008023432),np.float64(4.914625),
np.float64(0.5497429370880127),np.float64(235.21042223849446),np.float64(4.917),
np.float64(0.5499587059020996),np.float64(233.59571143838326),np.float64(4.91575),
np.float64(0.550128698348999),np.float64(236.91778037959565),np.float64(4.914375),
np.float64(0.5503249168395996),np.float64(235.6074822713087),np.float64(4.915875),
np.float64(0.5505399703979492),np.float64(235.56777626802727),np.float64(4.914),
np.float64(0.5507569313049316),np.float64(239.00896321908394),np.float64(4.91325),
np.float64(0.5509748458862305),np.float64(236.15013098282148),np.float64(4.914125),
np.float64(0.5511369705200195),np.float64(238.13543114689264),np.float64(4.915125),
np.float64(0.551332950592041),np.float64(235.43542292375588),np.float64(4.915875),
np.float64(0.551527738571167),np.float64(232.52364934978485),np.float64(4.919125),
np.float64(0.5517339706420898),np.float64(231.06776256279932),np.float64(4.9193750000000005),
np.float64(0.5519599914550781),np.float64(228.40746034294398),np.float64(4.921375),
np.float64(0.5521337985992432),np.float64(229.7706997889395),np.float64(4.9195),
np.float64(0.5523419380187988),np.float64(229.30746308398955),np.float64(4.919125),
np.float64(0.5525338649749756),np.float64(230.90893854967362),np.float64(4.9185),
np.float64(0.5527248382568359),np.float64(232.85453271046336),np.float64(4.917125),
np.float64(0.5529298782348633),np.float64(233.39718142197614),np.float64(4.91625),
np.float64(0.5531487464904785),np.float64(233.8339474580718),np.float64(4.916875),
np.float64(0.5533428192138672),np.float64(234.1515954843232),np.float64(4.916625),
np.float64(0.5535447597503662),np.float64(233.55600543510184),np.float64(4.91625),
np.float64(0.5537309646606445),np.float64(233.9001241302075),np.float64(4.917),
np.float64(0.5539438724517822),np.float64(233.8074767892175),np.float64(4.916875),
np.float64(0.5541338920593262),np.float64(233.71482944822753),np.float64(4.9165),
np.float64(0.5543248653411865),np.float64(233.34424008426757),np.float64(4.917125),
np.float64(0.5545408725738525),np.float64(233.88688879578035),np.float64(4.916625),
np.float64(0.554818868637085),np.float64(234.03247747447892),np.float64(4.916125),
np.float64(0.5549619197845459),np.float64(234.74718553354452),np.float64(4.917),
np.float64(0.5551469326019287),np.float64(234.82659754010737),np.float64(4.91625),
np.float64(0.5553457736968994),np.float64(235.0913042286502),np.float64(4.91575),
np.float64(0.5555377006530762),np.float64(234.4824788450017),np.float64(4.916625),
np.float64(0.5557386875152588),np.float64(234.76042086797167),np.float64(4.916375),
np.float64(0.5559289455413818),np.float64(235.541305599173),np.float64(4.914625),
np.float64(0.5561320781707764),np.float64(236.69277969433426),np.float64(4.916),
np.float64(0.5563449859619141),np.float64(235.541305599173),np.float64(4.917),
np.float64(0.5565428733825684),np.float64(234.19130148760462),np.float64(4.916125),
np.float64(0.5567388534545898),np.float64(234.74718553354452),np.float64(4.91575),
np.float64(0.5569567680358887),np.float64(235.2898342450573),np.float64(4.916125),
np.float64(0.5571408271789551),np.float64(234.76042086797167),np.float64(4.915625),
np.float64(0.5573539733886719),np.float64(235.62071760573585),np.float64(4.91675),
np.float64(0.557560920715332),np.float64(234.52218484828313),np.float64(4.917),
np.float64(0.5578408241271973),np.float64(234.01924214005177),np.float64(4.917),
np.float64(0.5579760074615479),np.float64(233.92659479906177),np.float64(4.91625),
np.float64(0.5581517219543457),np.float64(234.20453682203174),np.float64(4.91625),
np.float64(0.558344841003418),np.float64(233.95306546791608),np.float64(4.9165),
np.float64(0.5585429668426514),np.float64(234.11188948104177),np.float64(4.91725),
np.float64(0.5587389469146729),np.float64(233.62218210723753),np.float64(4.916625),
np.float64(0.5589468479156494),np.float64(235.1310102319316),np.float64(4.91625),
np.float64(0.5591428279876709),np.float64(234.323654831876),np.float64(4.916625),
np.float64(0.5593488216400146),np.float64(233.5427701006747),np.float64(4.916625),
np.float64(0.5595498085021973),np.float64(233.5162994318204),np.float64(4.91625),
np.float64(0.5598177909851074),np.float64(234.60159685484598),np.float64(4.9165),
np.float64(0.5599648952484131),np.float64(234.69424419583598),np.float64(4.9165),
np.float64(0.5601389408111572),np.float64(234.50894951385598),np.float64(4.916625),
np.float64(0.5603418350219727),np.float64(234.2839488285946),np.float64(4.91575),
np.float64(0.5606520175933838),np.float64(233.92659479906177),np.float64(4.91675),
np.float64(0.5608158111572266),np.float64(234.97218621880592),np.float64(4.91575),
np.float64(0.5609850883483887),np.float64(234.60159685484598),np.float64(4.91725),
np.float64(0.5611648559570312),np.float64(234.08541881218747),np.float64(4.91675),
np.float64(0.5613460540771484),np.float64(234.53542018271028),np.float64(4.916125),
np.float64(0.561546802520752),np.float64(234.40306683843886),np.float64(4.916),
np.float64(0.5617420673370361),np.float64(234.23100749088604),np.float64(4.916375),
np.float64(0.561985969543457),np.float64(234.87953887781595),np.float64(4.9155),
np.float64(0.5621559619903564),np.float64(234.25747815974032),np.float64(4.915875),
np.float64(0.5623557567596436),np.float64(234.25747815974032),np.float64(4.917125),
np.float64(0.5625667572021484),np.float64(234.33689016630316),np.float64(4.91675),
np.float64(0.5628328323364258),np.float64(233.63541744166469),np.float64(4.916875),
np.float64(0.5629909038543701),np.float64(234.19130148760462),np.float64(4.916375),
np.float64(0.5631527900695801),np.float64(234.2839488285946),np.float64(4.916),
np.float64(0.5633687973022461),np.float64(235.42218758932873),np.float64(4.9165),
np.float64(0.5635669231414795),np.float64(234.8927742122431),np.float64(4.916875),
np.float64(0.563762903213501),np.float64(234.53542018271028),np.float64(4.913875),
np.float64(0.5639767646789551),np.float64(237.5795471009527),np.float64(4.91475),
np.float64(0.5641589164733887),np.float64(236.7060150287614),np.float64(4.914625),
np.float64(0.5643749237060547),np.float64(237.3148404124099),np.float64(4.914875),
np.float64(0.5645718574523926),np.float64(236.46777900907287),np.float64(4.9165),
np.float64(0.5648350715637207),np.float64(235.1574809007859),np.float64(4.91625),
np.float64(0.5649740695953369),np.float64(233.6751234449461),np.float64(4.9182500000000005),
np.float64(0.5651559829711914),np.float64(233.29129874655902),np.float64(4.91625),
np.float64(0.5653469562530518),np.float64(234.0589481433332),np.float64(4.917),
np.float64(0.5655636787414551),np.float64(234.24424282531317),np.float64(4.916375),
np.float64(0.5658378601074219),np.float64(234.76042086797167),np.float64(4.915875),
np.float64(0.5660037994384766),np.float64(235.58101160245442),np.float64(4.9165),
np.float64(0.5661859512329102),np.float64(235.39571692047446),np.float64(4.916625),
np.float64(0.5663638114929199),np.float64(234.24424282531317),np.float64(4.916875),
np.float64(0.5665528774261475),np.float64(235.50159959589158),np.float64(4.913875),
np.float64(0.5668179988861084),np.float64(236.94425104844996),np.float64(4.91575),
np.float64(0.5669701099395752),np.float64(236.0177776385501),np.float64(4.915625),
np.float64(0.567147970199585),np.float64(235.01189222208734),np.float64(4.915375),
np.float64(0.5673530101776123),np.float64(235.1839515696402),np.float64(4.917),
np.float64(0.5675408840179443),np.float64(233.05306272687048),np.float64(4.91775),
np.float64(0.5678110122680664),np.float64(232.444237343222),np.float64(4.919125),
np.float64(0.5679409503936768),np.float64(230.92217388410077),np.float64(4.9185),
np.float64(0.5681509971618652),np.float64(232.36482533665915),np.float64(4.917375),
np.float64(0.5683350563049316),np.float64(232.85453271046336),np.float64(4.9175),
np.float64(0.5685539245605469),np.float64(234.94571554995164),np.float64(4.9155),
np.float64(0.568809986114502),np.float64(237.53984109767129),np.float64(4.91525),
np.float64(0.5689709186553955),np.float64(235.72660028115297),np.float64(4.916625),
np.float64(0.5691578388214111),np.float64(235.01189222208734),np.float64(4.917375),
np.float64(0.5693559646606445),np.float64(235.1839515696402),np.float64(4.916),
np.float64(0.56955885887146),np.float64(233.29129874655902),np.float64(4.9195),
np.float64(0.5698127746582031),np.float64(231.57070527103068),np.float64(4.91925),
np.float64(0.569969892501831),np.float64(230.59129052342223),np.float64(4.91875),
np.float64(0.5701439380645752),np.float64(232.24570732681488),np.float64(4.91725),
np.float64(0.5703418254852295),np.float64(233.13247473343333),np.float64(4.91775),
np.float64(0.5705409049987793),np.float64(232.32511933337773),np.float64(4.917375),
np.float64(0.5708179473876953),np.float64(233.03982739244333),np.float64(4.91775),
np.float64(0.5709788799285889),np.float64(233.5824761039561),np.float64(4.917),
np.float64(0.5711719989776611),np.float64(234.3898315040117),np.float64(4.916625),
np.float64(0.5713748931884766),np.float64(234.99865688766022),np.float64(4.91675),
np.float64(0.5715489387512207),np.float64(234.416302172866),np.float64(4.91675),
np.float64(0.5718138217926025),np.float64(234.323654831876),np.float64(4.917125),
np.float64(0.5719690322875977),np.float64(233.84718279249893),np.float64(4.915125),
np.float64(0.5721418857574463),np.float64(235.03836289094164),np.float64(4.917375),
np.float64(0.5723528861999512),np.float64(234.20453682203174),np.float64(4.916375),
np.float64(0.5725588798522949),np.float64(234.74718553354452),np.float64(4.91525),
np.float64(0.5727658271789551),np.float64(236.42807300579145),np.float64(4.915625),
np.float64(0.5729970932006836),np.float64(235.62071760573585),np.float64(4.915375),
np.float64(0.573185920715332),np.float64(235.2236575729216),np.float64(4.915875),
np.float64(0.5734648704528809),np.float64(234.56189085156456),np.float64(4.91625),
np.float64(0.5735828876495361),np.float64(234.29718416302174),np.float64(4.91575),
np.float64(0.5738418102264404),np.float64(235.05159822536876),np.float64(4.9165),
np.float64(0.5739917755126953),np.float64(235.30306957948446),np.float64(4.915875),
np.float64(0.5741589069366455),np.float64(236.38836700251002),np.float64(4.9145),
np.float64(0.5743498802185059),np.float64(236.45454367464572),np.float64(4.916625),
np.float64(0.5745840072631836),np.float64(233.05306272687048),np.float64(4.918),
np.float64(0.5748217105865479),np.float64(233.17218073671475),np.float64(4.917375),
np.float64(0.5750000476837158),np.float64(232.89423871374478),np.float64(4.917),
np.float64(0.5751678943634033),np.float64(234.33689016630316),np.float64(4.916125),
np.float64(0.5753529071807861),np.float64(234.09865414661462),np.float64(4.9175),
np.float64(0.5755519866943359),np.float64(233.82071212364465),np.float64(4.915875),
np.float64(0.5758147239685059),np.float64(234.09865414661462),np.float64(4.9165),
np.float64(0.5759799480438232),np.float64(234.11188948104177),np.float64(4.916625),
np.float64(0.5761499404907227),np.float64(233.9663008023432),np.float64(4.91625),
np.float64(0.5763449668884277),np.float64(236.22954298938433),np.float64(4.914375),
np.float64(0.5765559673309326),np.float64(236.9971923861585),np.float64(4.915125),
np.float64(0.5768177509307861),np.float64(235.40895225490158),np.float64(4.916),
np.float64(0.5769767761230469),np.float64(235.14424556635876),np.float64(4.91575),
np.float64(0.5771687030792236),np.float64(234.416302172866),np.float64(4.916875),
np.float64(0.577380895614624),np.float64(232.48394334650342),np.float64(4.918375),
np.float64(0.5775721073150635),np.float64(232.444237343222),np.float64(4.91675),
np.float64(0.5778229236602783),np.float64(232.00747130712634),np.float64(4.9190000000000005),
np.float64(0.5779697895050049),np.float64(231.62364660873925),np.float64(4.918125),
np.float64(0.5781590938568115),np.float64(232.9339447170262),np.float64(4.9175),
np.float64(0.5783579349517822),np.float64(233.63541744166469),np.float64(4.917375),
np.float64(0.5785508155822754),np.float64(233.2251220744233),np.float64(4.917125),
np.float64(0.5788168907165527),np.float64(233.48982876296614),np.float64(4.917125),
np.float64(0.5789668560028076),np.float64(233.33100474984045),np.float64(4.918),
np.float64(0.5791521072387695),np.float64(233.10600406457905),np.float64(4.91725),
np.float64(0.57936692237854),np.float64(234.13836014989604),np.float64(4.91725),
np.float64(0.5795619487762451),np.float64(233.93983013348893),np.float64(4.91675),
np.float64(0.5798177719116211),np.float64(234.1251248154689),np.float64(4.91675),
np.float64(0.5799808502197266),np.float64(234.1515954843232),np.float64(4.91675),
np.float64(0.5801568031311035),np.float64(234.2839488285946),np.float64(4.9165),
np.float64(0.5803558826446533),np.float64(234.76042086797167),np.float64(4.916),
np.float64(0.5805559158325195),np.float64(234.61483218927313),np.float64(4.917625),
np.float64(0.5808150768280029),np.float64(233.9001241302075),np.float64(4.91675),
np.float64(0.5809757709503174),np.float64(235.32954024833873),np.float64(4.915875),
np.float64(0.5811560153961182),np.float64(235.71336494672582),np.float64(4.915625),
np.float64(0.5813508033752441),np.float64(235.1574809007859),np.float64(4.916625),
np.float64(0.5815699100494385),np.float64(235.2236575729216),np.float64(4.916),
np.float64(0.5818181037902832),np.float64(234.97218621880592),np.float64(4.917),
np.float64(0.5820038318634033),np.float64(234.58836152041883),np.float64(4.916625),
np.float64(0.5821847915649414),np.float64(235.1574809007859),np.float64(4.916),
np.float64(0.582373857498169),np.float64(235.2236575729216),np.float64(4.91625),
np.float64(0.5825867652893066),np.float64(235.3163049139116),np.float64(4.916125),
np.float64(0.5828328132629395),np.float64(234.74718553354452),np.float64(4.917),
np.float64(0.5829727649688721),np.float64(233.97953613677035),np.float64(4.91675),
np.float64(0.5831637382507324),np.float64(233.9001241302075),np.float64(4.91675),
np.float64(0.5833587646484375),np.float64(234.07218347776035),np.float64(4.917),
np.float64(0.5835707187652588),np.float64(234.27071349416747),np.float64(4.917375),
np.float64(0.5838119983673096),np.float64(234.0589481433332),np.float64(4.91675),
np.float64(0.5839788913726807),np.float64(234.16483081875032),np.float64(4.916625),
np.float64(0.5841917991638184),np.float64(233.9927714711975),np.float64(4.91725),
np.float64(0.5843799114227295),np.float64(234.323654831876),np.float64(4.917),
np.float64(0.5845849514007568),np.float64(234.1251248154689),np.float64(4.9175),
np.float64(0.5848329067230225),np.float64(234.61483218927313),np.float64(4.91575),
np.float64(0.5849928855895996),np.float64(236.61336768777142),np.float64(4.913),
np.float64(0.5851609706878662),np.float64(237.18248706813847),np.float64(4.915125),
np.float64(0.5853559970855713),np.float64(235.95160096641436),np.float64(4.91575),
np.float64(0.585568904876709),np.float64(234.66777352698168),np.float64(4.917625),
np.float64(0.5858328342437744),np.float64(233.5824761039561),np.float64(4.9186250000000005),
np.float64(0.5859909057617188),np.float64(231.53099926774925),np.float64(4.9185),
np.float64(0.5863149166107178),np.float64(231.90574304878479),np.float64(4.917125),
np.float64(0.5864276885986328),np.float64(233.4145120934112),np.float64(4.91775),
np.float64(0.5865988731384277),np.float64(232.31602235039372),np.float64(4.918),
np.float64(0.5868380069732666),np.float64(232.21014382094626),np.float64(4.91775),
np.float64(0.5869910717010498),np.float64(232.92482389471664),np.float64(4.91725),
np.float64(0.5871837139129639),np.float64(232.9115890785357),np.float64(4.917625),
np.float64(0.5873808860778809),np.float64(232.80571054908825),np.float64(4.918125),
np.float64(0.5875749588012695),np.float64(232.3027875342128),np.float64(4.917625),
np.float64(0.5878357887268066),np.float64(233.14981576979253),np.float64(4.917125),
np.float64(0.5879929065704346),np.float64(233.33510319632558),np.float64(4.91725),
np.float64(0.5881798267364502),np.float64(233.3483380125065),np.float64(4.917375),
np.float64(0.5883939266204834),np.float64(233.46745135813492),np.float64(4.917125),
np.float64(0.5885918140411377),np.float64(233.11011132124972),np.float64(4.9165),
np.float64(0.5888149738311768),np.float64(234.32771440989558),np.float64(4.916625),
np.float64(0.5889668464660645),np.float64(233.33510319632558),np.float64(4.916875),
np.float64(0.5891828536987305),np.float64(233.81155657883917),np.float64(4.917375),
np.float64(0.5893828868865967),np.float64(235.16150782929435),np.float64(4.915875),
np.float64(0.5895848274230957),np.float64(235.1747426454753),np.float64(4.916875),
np.float64(0.5898349285125732),np.float64(234.59241073351424),np.float64(4.917125),
np.float64(0.5899989604949951),np.float64(234.23507069662904),np.float64(4.917625),
np.float64(0.5901908874511719),np.float64(233.83802621120103),np.float64(4.91675),
np.float64(0.5903759002685547),np.float64(234.6982892629617),np.float64(4.916375),
np.float64(0.590595006942749),np.float64(234.52623665260955),np.float64(4.916875),
np.float64(0.5908248424530029),np.float64(235.05562929984688),np.float64(4.916375),
np.float64(0.5909690856933594),np.float64(234.36741885843836),np.float64(4.9165),
np.float64(0.5911898612976074),np.float64(234.04978327009596),np.float64(4.9175),
np.float64(0.5913729667663574),np.float64(234.5394714687905),np.float64(4.916875),
np.float64(0.5915699005126953),np.float64(233.2292246668781),np.float64(4.9175),
np.float64(0.5918219089508057),np.float64(233.75861731411544),np.float64(4.91575),
np.float64(0.5919899940490723),np.float64(234.44682775552397),np.float64(4.9185),
np.float64(0.592167854309082),np.float64(233.04393724034506),np.float64(4.917375),
np.float64(0.5923728942871094),np.float64(233.52039062285866),np.float64(4.917),
np.float64(0.5928218364715576),np.float64(234.12919216718157),np.float64(4.915625),
np.float64(0.5929999351501465),np.float64(235.86295308688383),np.float64(4.916),
np.float64(0.5931868553161621),np.float64(235.16150782929435),np.float64(4.91625),
np.float64(0.5933938026428223),np.float64(234.6585848144189),np.float64(4.916375),
np.float64(0.5935847759246826),np.float64(234.68505444678075),np.float64(4.916375),
np.float64(0.5938358306884766),np.float64(234.28800996135277),np.float64(4.917),
np.float64(0.5939958095550537),np.float64(233.91743510828664),np.float64(4.91675),
np.float64(0.5941920280456543),np.float64(233.45421654195397),np.float64(4.918),
np.float64(0.5943930149078369),np.float64(231.8263341516992),np.float64(4.91875),
np.float64(0.5945878028869629),np.float64(231.2704718721),np.float64(4.918875),
np.float64(0.5948288440704346),np.float64(232.17043937240345),np.float64(4.917625),
np.float64(0.5950000286102295),np.float64(233.0968765050688),np.float64(4.91725),
np.float64(0.5951919555664062),np.float64(233.67920841702983),np.float64(4.917),
np.float64(0.5953850746154785),np.float64(233.93066992446757),np.float64(4.9165),
np.float64(0.5955839157104492),np.float64(235.7703093736173),np.float64(4.9155),
np.float64(0.5958309173583984),np.float64(236.5643983444733),np.float64(4.915625),
np.float64(0.5959968566894531),np.float64(235.67766566035075),np.float64(4.916375),
np.float64(0.5962009429931641),np.float64(234.9762204027613),np.float64(4.91675),
np.float64(0.5963919162750244),np.float64(234.11595735100065),np.float64(4.918),
np.float64(0.5965909957885742),np.float64(232.60718830637424),np.float64(4.9193750000000005),
np.float64(0.5968267917633057),np.float64(231.01901036466225),np.float64(4.918375),
np.float64(0.5969948768615723),np.float64(231.3498807691856),np.float64(4.9182500000000005),
np.float64(0.5971918106079102),np.float64(232.27631790185092),np.float64(4.918),
np.float64(0.5973880290985107),np.float64(232.5807186740124),np.float64(4.918125),
np.float64(0.5975868701934814),np.float64(233.45421654195397),np.float64(4.915375),
np.float64(0.5978348255157471),np.float64(235.71737010889356),np.float64(4.916625),
np.float64(0.598020076751709),np.float64(234.88357668949476),np.float64(4.9165),
np.float64(0.5981917381286621),np.float64(234.84387224095195),np.float64(4.91675),
np.float64(0.5983879566192627),np.float64(235.0159248513041),np.float64(4.917875),
np.float64(0.5985860824584961),np.float64(234.31447959371462),np.float64(4.916625),
np.float64(0.5988237857818604),np.float64(234.84387224095195),np.float64(4.9165),
np.float64(0.5991017818450928),np.float64(234.8174026085901),np.float64(4.9165),
np.float64(0.5991969108581543),np.float64(234.68505444678075),np.float64(4.91675),
np.float64(0.5993959903717041),np.float64(234.92328113803757),np.float64(4.9165),
